mano_clave,carta1,carta2,carta3,carta4,prob_grande,prob_chica,prob_pares,prob_juego,prob_punto,piedras_esperadas,tipo_mano,estado_juego,suma_puntos,valor_par,valor_juego
"1,1,1,1",1,1,1,1,0.0000,100.0000,87.8309,0.0000,0.0000,6.3915,Cuaternas de 1s,Punto de 4,4,3,0
"1,1,1,10",1,1,1,10,0.6811,99.0323,75.3215,0.0000,0.0193,5.0077,Medias de 1s,Punto de 13,13,2,0
"1,1,1,11",1,1,1,11,3.5950,99.0323,75.3215,0.0000,0.0193,5.0660,Medias de 1s,Punto de 13,13,2,0
"1,1,1,12",1,1,1,12,14.2829,99.1682,77.7255,0.0000,0.0193,5.3786,Medias de 1s,Punto de 13,13,2,0
"1,1,1,4",1,1,1,4,0.0000,99.9830,75.3215,0.0000,0.0000,5.0125,Medias de 1s,Punto de 7,7,2,0
"1,1,1,5",1,1,1,5,0.0001,99.8472,75.3215,0.0000,0.0000,5.0098,Medias de 1s,Punto de 8,8,2,0
"1,1,1,6",1,1,1,6,0.0048,99.7114,75.3215,0.0000,0.0000,5.0072,Medias de 1s,Punto de 9,9,2,0
"1,1,1,7",1,1,1,7,0.0832,99.5756,75.3215,0.0000,0.0002,5.0060,Medias de 1s,Punto de 10,10,2,0
"1,1,10,10",1,1,10,10,2.3317,76.5742,90.6301,0.0000,14.9486,6.5581,Duples (10s y 1s),Punto de 22,22,3,0
"1,1,10,11",1,1,10,11,7.3103,76.9548,1.6828,0.0000,14.9486,2.1842,Pareja de 1s,Punto de 22,22,1,0
"1,1,10,12",1,1,10,12,33.0087,77.5264,1.8257,0.0000,14.9486,2.7139,Pareja de 1s,Punto de 22,22,1,0
"1,1,11,11",1,1,11,11,9.9602,76.5742,92.0292,0.0000,14.9486,6.7806,Duples (11s y 1s),Punto de 22,22,3,0
"1,1,11,12",1,1,11,12,49.8113,77.5264,1.8257,0.0000,14.9486,3.0500,Pareja de 1s,Punto de 22,22,1,0
"1,1,12,12",1,1,12,12,77.2404,77.2404,96.5476,0.0000,14.9486,8.3655,Duples (12s y 1s),Punto de 22,22,3,0
"1,1,4,10",1,1,4,10,0.7291,94.1197,1.6828,0.0000,0.3882,1.9591,Pareja de 1s,Punto de 16,16,1,0
"1,1,4,11",1,1,4,11,3.7092,94.1197,1.6828,0.0000,0.3882,2.0187,Pareja de 1s,Punto de 16,16,1,0
"1,1,4,12",1,1,4,12,14.8281,94.7244,1.8257,0.0000,0.3882,2.2575,Pareja de 1s,Punto de 16,16,1,0
"1,1,4,4",1,1,4,4,0.0000,97.9127,87.2559,0.0000,0.0006,6.3211,Duples (4s y 1s),Punto de 10,10,3,0
"1,1,4,5",1,1,4,5,0.0006,97.7604,1.6828,0.0000,0.0031,2.0058,Pareja de 1s,Punto de 11,11,1,0
"1,1,4,6",1,1,4,6,0.0084,97.1516,1.6828,0.0000,0.0108,1.9940,Pareja de 1s,Punto de 12,12,1,0
"1,1,4,7",1,1,4,7,0.0990,96.5436,1.6828,0.0000,0.0480,1.9848,Pareja de 1s,Punto de 13,13,1,0
"1,1,5,10",1,1,5,10,0.8183,89.2302,1.6828,0.0000,0.9065,1.8786,Pareja de 1s,Punto de 17,17,1,0
"1,1,5,11",1,1,5,11,3.9189,89.2302,1.6828,0.0000,0.9065,1.9407,Pareja de 1s,Punto de 17,17,1,0
"1,1,5,12",1,1,5,12,15.8338,89.8254,1.8257,0.0000,0.9065,2.1952,Pareja de 1s,Punto de 17,17,1,0
"1,1,5,5",1,1,5,5,0.0014,92.3639,87.7746,0.0000,0.0113,6.2364,Duples (5s y 1s),Punto de 12,12,3,0
"1,1,5,6",1,1,5,6,0.0168,92.2142,1.6828,0.0000,0.0501,1.8966,Pareja de 1s,Punto de 13,13,1,0
"1,1,5,7",1,1,5,7,0.1299,91.6158,1.6828,0.0000,0.0905,1.8881,Pareja de 1s,Punto de 14,14,1,0
"1,1,6,10",1,1,6,10,1.0497,85.1976,1.6828,0.0000,1.6934,1.8262,Pareja de 1s,Punto de 18,18,1,0
"1,1,6,11",1,1,6,11,4.4445,85.1976,1.6828,0.0000,1.6934,1.8941,Pareja de 1s,Punto de 18,18,1,0
"1,1,6,12",1,1,6,12,18.3848,85.7848,1.8257,0.0000,1.6934,2.1890,Pareja de 1s,Punto de 18,18,1,0
